Artist,File
Talib Kweli,Talib Kweli_lyrics.txt
CunninLynguists,CunninLynguists_lyrics.txt
Kanye West,Kanye West_lyrics.txt
Deniro Farrar,Deniro Farrar_lyrics.txt
Eminem,Eminem_lyrics.txt
Ice Cube,Ice Cube_lyrics.txt
Kendrick Lamar,Kendrick Lamar_lyrics.txt
Logic,Logic_lyrics.txt
Tupac1,Tupac1_lyrics.txt
J Cole,J Cole_lyrics.txt
NF,NF_lyrics.txt
Eazy-E,Eazy-E_lyrics.txt
Joey Badass,Joey Badass_lyrics.txt
Common,Common_lyrics.txt
Scarface,Scarface_lyrics.txt
Isaiah Rashad,Isaiah Rashad_lyrics.txt
Royce Da 59,Royce Da 59_lyrics.txt
Jay-z,Jay-z_lyrics.txt
Chance The Rapper,Chance The Rapper_lyrics.txt
Immortal Technique,Immortal Technique_lyrics.txt
Lupe Fiasco,Lupe Fiasco_lyrics.txt
Big L,Big L_lyrics.txt
Montana of 300,Montana of 300_lyrics.txt
ASAP Rocky,ASAP Rocky_lyrics.txt
Bas,Bas_lyrics.txt
The Notorious BIG,The Notorious BIG_lyrics.txt
Earl Sweatshirt,Earl Sweatshirt_lyrics.txt
Lil Wayne,Lil Wayne_lyrics.txt
ASAP Ant,ASAP Ant_lyrics.txt
Drake,Drake_lyrics.txt
Tyler The Creator,Tyler The Creator_lyrics.txt
Nas,Nas_lyrics.txt
Mac Miller,Mac Miller_lyrics.txt
Andre 3000,Andre 3000_lyrics.txt
Pusha-T,Pusha-T_lyrics.txt
Tupac2,Tupac2_lyrics.txt
Action Bronson,Action Bronson_lyrics.txt
Childish Gambino,Childish Gambino_lyrics.txt
